,label,score
0,POSITIVE,0.9997939467430115
1,NEGATIVE,0.9809386730194092
2,NEGATIVE,0.9984394907951355
3,NEGATIVE,0.9938881993293762
4,NEGATIVE,0.982459545135498
5,POSITIVE,0.9998708963394165
6,POSITIVE,0.9976617097854614
7,POSITIVE,0.9998537302017212
8,NEGATIVE,0.9823640584945679
9,POSITIVE,0.9546225070953369
10,NEGATIVE,0.6463721990585327
11,NEGATIVE,0.9861969351768494
12,NEGATIVE,0.9362182021141052
13,POSITIVE,0.9998428821563721
14,POSITIVE,0.9995847344398499
15,NEGATIVE,0.9997240900993347
16,NEGATIVE,0.9993470311164856
17,NEGATIVE,0.9996563196182251
18,POSITIVE,0.999870777130127
19,POSITIVE,0.9998052716255188
20,NEGATIVE,0.9829822182655334
21,NEGATIVE,0.9704750776290894
22,POSITIVE,0.9990014433860779
23,POSITIVE,0.9993882179260254
24,POSITIVE,0.998795747756958
25,POSITIVE,0.9995006322860718
26,POSITIVE,0.7264584898948669
27,NEGATIVE,0.9985923171043396
28,POSITIVE,0.9998620748519897
29,NEGATIVE,0.9986158609390259
30,NEGATIVE,0.9991682767868042
31,NEGATIVE,0.8106153011322021
32,POSITIVE,0.9984256029129028
33,NEGATIVE,0.9862220883369446
34,NEGATIVE,0.9984439015388489
35,POSITIVE,0.9780032634735107
36,POSITIVE,0.999693751335144
37,NEGATIVE,0.7370421290397644
38,NEGATIVE,0.9621472954750061
39,NEGATIVE,0.9980389475822449
40,POSITIVE,0.9996861219406128
41,POSITIVE,0.9996309280395508
42,POSITIVE,0.9906201362609863
43,NEGATIVE,0.988544762134552
44,NEGATIVE,0.9951230883598328
45,NEGATIVE,0.9958215951919556
46,NEGATIVE,0.9986853003501892
47,NEGATIVE,0.9997844099998474
48,POSITIVE,0.9997609257698059
49,NEGATIVE,0.9989953637123108
50,NEGATIVE,0.9921365976333618
51,NEGATIVE,0.9997231364250183
52,NEGATIVE,0.9766230583190918
53,NEGATIVE,0.9986047148704529
54,POSITIVE,0.9997677206993103
55,POSITIVE,0.9998593330383301
56,POSITIVE,0.9998375177383423
57,NEGATIVE,0.9978117346763611
58,NEGATIVE,0.9942043423652649
59,POSITIVE,0.9984172582626343
60,NEGATIVE,0.9852424263954163
61,NEGATIVE,0.9985961318016052
62,NEGATIVE,0.9993718266487122
63,NEGATIVE,0.7063111662864685
64,NEGATIVE,0.9971501231193542
65,POSITIVE,0.9998576641082764
66,NEGATIVE,0.9990625977516174
67,NEGATIVE,0.9975907802581787
68,NEGATIVE,0.9905970692634583
69,NEGATIVE,0.999714195728302
70,POSITIVE,0.9998552799224854
71,NEGATIVE,0.9940816760063171
72,NEGATIVE,0.9945587515830994
73,POSITIVE,0.9975059628486633
74,NEGATIVE,0.9791657328605652
75,NEGATIVE,0.9992589354515076
76,POSITIVE,0.9990682005882263
77,NEGATIVE,0.9880594611167908
78,NEGATIVE,0.5315424799919128
79,POSITIVE,0.9971201419830322
80,POSITIVE,0.9926988482475281
81,POSITIVE,0.9788605570793152
82,POSITIVE,0.9998630285263062
83,POSITIVE,0.9998687505722046
84,POSITIVE,0.9638552069664001
85,NEGATIVE,0.5616504549980164
86,POSITIVE,0.9992884397506714
87,POSITIVE,0.9998687505722046
88,POSITIVE,0.9998688697814941
89,NEGATIVE,0.99918133020401
90,NEGATIVE,0.9979466795921326
91,POSITIVE,0.9951642751693726
92,POSITIVE,0.9998437166213989
93,NEGATIVE,0.9986760020256042
94,NEGATIVE,0.9701148271560669
95,NEGATIVE,0.9750428795814514
96,NEGATIVE,0.9952777624130249
97,NEGATIVE,0.9923393726348877
98,NEGATIVE,0.9887279272079468
99,NEGATIVE,0.9910633563995361
100,NEGATIVE,0.9909632802009583
101,POSITIVE,0.999765932559967
102,NEGATIVE,0.9958906173706055
103,NEGATIVE,0.9925912618637085
104,NEGATIVE,0.9749696850776672
105,NEGATIVE,0.8328425288200378
106,NEGATIVE,0.9941792488098145
107,NEGATIVE,0.9929856657981873
108,NEGATIVE,0.9956894516944885
109,NEGATIVE,0.9770469069480896
110,NEGATIVE,0.9914985299110413
111,NEGATIVE,0.98921799659729
112,NEGATIVE,0.9644858837127686
113,NEGATIVE,0.9934552311897278
114,NEGATIVE,0.9971615076065063
115,NEGATIVE,0.9914985299110413
116,NEGATIVE,0.9937562942504883
117,NEGATIVE,0.9717591404914856
118,NEGATIVE,0.9914985299110413
119,NEGATIVE,0.9908754825592041
120,NEGATIVE,0.9914985299110413
121,NEGATIVE,0.9947757720947266
122,NEGATIVE,0.9952394962310791
123,NEGATIVE,0.9950093030929565
124,NEGATIVE,0.9952394962310791
125,NEGATIVE,0.9943540096282959
126,NEGATIVE,0.9935749173164368
127,NEGATIVE,0.9914985299110413
128,NEGATIVE,0.9950093030929565
129,NEGATIVE,0.9921280145645142
130,NEGATIVE,0.9914985299110413
131,NEGATIVE,0.9872360825538635
132,NEGATIVE,0.9829201102256775
133,NEGATIVE,0.994321346282959
134,NEGATIVE,0.9958860278129578
135,NEGATIVE,0.9956709146499634
136,NEGATIVE,0.9850977659225464
137,NEGATIVE,0.9837557077407837
138,NEGATIVE,0.9906739592552185
139,NEGATIVE,0.9892143607139587
140,NEGATIVE,0.9942249655723572
141,NEGATIVE,0.9884433150291443
142,NEGATIVE,0.9984832406044006
143,POSITIVE,0.9948311448097229
144,NEGATIVE,0.9995260238647461
145,POSITIVE,0.9958431124687195
146,NEGATIVE,0.9994239807128906
147,NEGATIVE,0.9139341115951538
148,POSITIVE,0.9996473789215088
149,NEGATIVE,0.9986773133277893
150,NEGATIVE,0.99253910779953
151,POSITIVE,0.8545732498168945
152,POSITIVE,0.9998774528503418
153,POSITIVE,0.8752045631408691
154,NEGATIVE,0.981780469417572
155,NEGATIVE,0.7719393968582153
156,POSITIVE,0.9997932314872742
157,NEGATIVE,0.9994615912437439
158,POSITIVE,0.9942988157272339
159,POSITIVE,0.9991412162780762
160,NEGATIVE,0.9987657070159912
161,NEGATIVE,0.9698296189308167
162,NEGATIVE,0.9902141690254211
163,NEGATIVE,0.8643184304237366
