,sequence,labels,scores
0,"This machine is great if you want a creamy good espresso! We been having this machine already for 3 months and still working properly. The only negative think I can say about it is that it is pretty noisy, unless you hold the cover of the water container and also the aluminium tray. A part that I will definitely recommend it to a friend.","['usablity', 'durability', 'not durability', 'not usability']","[0.7489646673202515, 0.17920590937137604, 0.052172284573316574, 0.01965712197124958]"
1,Now I'm giving this one five stars. It's the second one I've had and it's a great machine. Easy to operate and gives the expresso a great crema. It also has the tamp fitted on the side of the machine which is really useful and it's attractive to look at. I have bought their newer model for a holiday home and it's not a patch on this one.,"['usablity', 'durability', 'not durability', 'not usability']","[0.7407163381576538, 0.2173924297094345, 0.025549864396452904, 0.016341466456651688]"
2,"Terrible machine. Make a lot of noise and start leaking after 13 months (warrenty ended on month 12). No help at all from Delonghi, just a poor product & poor customer service","['not durability', 'not usability', 'usablity', 'durability']","[0.5499308109283447, 0.3207666277885437, 0.06498327851295471, 0.06431929022073746]"
3,"Total crap. Have had it 3 months, leaks all the time, even when off. Wish I had taken a closer look at the reviews. Worked fine for a while. Almost returned it once bc of the milk frother but found a missing piece. Wish I had returned it when I had the chance.","['not durability', 'not usability', 'durability', 'usablity']","[0.6175243854522705, 0.2964017689228058, 0.045151736587285995, 0.04092206060886383]"
4,"Loud , and rattling water tank, although brews fantastic coffee!","['not durability', 'usablity', 'not usability', 'durability']","[0.548595130443573, 0.2794220745563507, 0.08794555068016052, 0.08403731137514114]"
5,"I was recommended it.Why I choose 4 stars. the answer is in the following sentence.I thought the coffee fitter container was too small only for very small cups. so I would have preferred larger coffee fitter/container, and the hot water reservoir heated up a small amount of water. .A fiend recommended De'longhi to me.","['usablity', 'durability', 'not durability', 'not usability']","[0.6398919820785522, 0.17780832946300507, 0.09455328434705734, 0.08774639666080475]"
6,Fast delivery. The machine is of great quality except loud noise when in operation. It can make excellent coffee! We absolutely love it.,"['usablity', 'durability', 'not durability', 'not usability']","[0.6637417078018188, 0.254501610994339, 0.050480831414461136, 0.03127586841583252]"
7,Good,"['usablity', 'durability', 'not durability', 'not usability']","[0.7934918403625488, 0.17936734855175018, 0.014765019528567791, 0.0123757878318429]"
8,Just what I wanted and it matches my Kitchen colour.  Easy to use I will definitely be increasing my coffee intake,"['usablity', 'durability', 'not durability', 'not usability']","[0.813828706741333, 0.16686253249645233, 0.00996095035225153, 0.009347740560770035]"
9,"ORMAI è 4 ANNI CHE UTILIZZAVO QUESTA MACCHINETTA. USO IL TEMPO PASSATO Perché PROPRIO OGGI HA SMESSO DI FUNZIONARE, DOPO QUALCHE AVVISAGLIA DI QUALCHE SETTIMANA. PREMETTO QUANTO SEGUE:-non posso certo dire che sia stata super sfruttata, abito da sola e la media era di un caffe al gg... a casa mia sfornano 10 caffe al gg eppure la macchinetta ce l'hanno quasi 10 anni.-è sempre stata molto rumorosa, avendo esperienza con altre macchinette azzarderei a dire perfino troppo.-ha perso acqua quasi da subito proprio a livello dell 'uscita acqua per il caffe, dove si posiziona il braccio col filtro, anche se la cosa avveniva in maniera discontinua.-ho dovuto sostituire il braccio e il filtro dopo circa 1 anno. eppure li ho sempre lavati e tenuti benepessima esperienza. bel prodotto d'estetica ma non la ricomprerei ne la consiglierei","['durability', 'usablity', 'not usability', 'not durability']","[0.35003069043159485, 0.29528388381004333, 0.17844253778457642, 0.17624293267726898]"
